Date,Open,High,Low,Close,Adj Close,Volume
2019-08-26,3.710000,3.710000,3.660000,3.670000,3.656439,876800
2019-08-27,3.720000,3.730000,3.710000,3.710000,3.696291,869500
2019-08-28,3.680000,3.720000,3.670000,3.670000,3.656439,718000
2019-08-29,3.700000,3.750000,3.690000,3.730000,3.716218,837100
2019-08-30,3.800000,3.820000,3.750000,3.820000,3.805885,830200
2019-09-03,3.770000,3.780000,3.700000,3.710000,3.696291,1410500
2019-09-04,3.780000,3.780000,3.740000,3.760000,3.746107,631700
2019-09-05,3.750000,3.830000,3.740000,3.830000,3.815848,1771800
2019-09-06,3.800000,3.810000,3.740000,3.740000,3.726181,2000900
2019-09-09,3.780000,3.810000,3.780000,3.790000,3.775996,748000
2019-09-10,3.790000,3.810000,3.770000,3.780000,3.766033,674000
2019-09-11,3.720000,3.720000,3.660000,3.680000,3.666402,1504300
2019-09-12,3.720000,3.730000,3.670000,3.690000,3.676365,1143100
2019-09-13,3.730000,3.740000,3.680000,3.740000,3.726181,872900
2019-09-16,3.710000,3.710000,3.670000,3.670000,3.656439,537300
2019-09-17,3.650000,3.690000,3.640000,3.680000,3.666402,1248400
2019-09-18,3.710000,3.730000,3.680000,3.700000,3.686328,958900
2019-09-19,3.660000,3.680000,3.620000,3.640000,3.626550,1533700
2019-09-20,3.720000,3.750000,3.680000,3.720000,3.706254,1499400
2019-09-23,3.650000,3.650000,3.600000,3.640000,3.626550,1019000
2019-09-24,3.670000,3.670000,3.560000,3.600000,3.586698,1905900
2019-09-25,3.610000,3.610000,3.570000,3.590000,3.576735,615800
2019-09-26,3.600000,3.620000,3.570000,3.620000,3.606624,861600
2019-09-27,3.640000,3.640000,3.590000,3.610000,3.596661,1531000
2019-09-30,3.660000,3.660000,3.620000,3.650000,3.636513,603600
2019-10-01,3.560000,3.570000,3.520000,3.560000,3.546846,1056500
2019-10-02,3.520000,3.580000,3.510000,3.580000,3.566772,1223200
2019-10-03,3.610000,3.630000,3.580000,3.590000,3.576735,2740700
2019-10-04,3.630000,3.670000,3.610000,3.650000,3.636513,1344300
2019-10-07,3.630000,3.660000,3.610000,3.650000,3.636513,1370900
2019-10-08,3.600000,3.660000,3.600000,3.650000,3.636513,2063200
2019-10-09,3.650000,3.660000,3.630000,3.640000,3.626550,811700
2019-10-10,3.650000,3.680000,3.620000,3.630000,3.616587,909500
2019-10-11,3.700000,3.700000,3.660000,3.660000,3.646476,715600
2019-10-14,3.690000,3.720000,3.670000,3.690000,3.676365,1138700
2019-10-15,3.800000,3.850000,3.670000,3.690000,3.676365,2811800
2019-10-16,3.770000,3.810000,3.750000,3.780000,3.766033,1600300
2019-10-17,3.790000,3.810000,3.780000,3.800000,3.785959,1308700
2019-10-18,3.770000,3.820000,3.770000,3.800000,3.785959,777100
2019-10-21,3.770000,3.830000,3.770000,3.810000,3.795922,944400
2019-10-22,3.810000,3.860000,3.810000,3.830000,3.815848,1122700
2019-10-23,3.850000,3.870000,3.840000,3.840000,3.825811,1413400
